/SiMCosta Tramandaí Sea Level Station
/L1 data
/missing = NULL
/latitude = -30.005
/longitude = -50.129
/Sensor Mount = Fixed
/Acknowledging or Crediting SiMCosta as Information Source : (Product or data name) courtesy of the Brazilian Coastal Monitoring System - SiMCosta  (www.simcosta.furg.br)
/Disclaimer: All products published on this website are not intended to be used for navigational or operational purposes.
/YEAR MONTH DAY HOUR MINUTE SECOND: Date/Time Data Acquisition (UTC)
/Wnd_Sp: Instantaneous Wind Speed (m/s)
/Wnd_dir_N: Instantaneous Wind Direction, true north reference (Degrees (°))
/Air_Tmp: Instantaneous Air Temperature (Celsius (°C))
/Todas as medidas de nível do mar estão referenciadas ao instrumento. O zero do instrumento é o centro de fase do emissor de microondas. Futuramente esse referencial local será acoplado a  Rede Altimétrica de Alta Precisão (RAAP/IBGE).
/All sea level measurements are referenced to the instrument. The instrument zero is the phase center of the microwave emitter. In the future this local reference will be coupled to the High Precision Altimetric Network (RAAP / IBGE).
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	Wnd_Sp	Wnd_dir_N	Air_Tmp
2018	3	14	3	1	00	86.00	14.00	23.30
2018	3	14	3	15	00	85.00	30.00	23.60
2018	3	14	3	31	00	80.00	13.00	23.40
2018	3	14	3	45	00	84.00	18.00	23.60
2018	3	14	4	1	00	81.00	19.00	23.40
2018	3	14	4	15	00	71.00	19.00	23.50
2018	3	14	4	30	00	88.00	14.00	23.60
2018	3	14	4	45	00	76.00	4.00	23.30
2018	3	14	5	0	00	68.00	17.00	23.50
2018	3	14	5	15	00	44.00	6.00	23.10
2018	3	14	5	30	00	42.00	2.00	22.90
2018	3	14	5	46	00	40.00	6.00	22.80
2018	3	14	6	0	00	29.00	0.00	22.70
2018	3	14	6	16	00	27.00	2.00	22.40
2018	3	14	6	30	00	21.00	27.00	22.10
2018	3	14	6	46	00	24.00	5.00	22.00
2018	3	14	7	0	00	35.00	10.00	21.90
2018	3	14	7	15	00	18.00	350.00	21.70
2018	3	14	7	31	00	5.00	1.00	21.40
2018	3	14	7	45	00	13.00	306.00	21.50
2018	3	14	8	0	00	13.00	298.00	21.20
2018	3	14	8	16	00	18.00	309.00	21.10
2018	3	14	8	30	00	20.00	292.00	20.90
2018	3	14	8	45	00	15.00	324.00	21.00
2018	3	14	9	0	00	24.00	324.00	21.20
2018	3	14	9	16	00	19.00	315.00	21.20
2018	3	14	9	30	00	16.00	288.00	21.20
2018	3	14	9	45	00	11.00	274.00	21.60
2018	3	14	10	0	00	14.00	347.00	22.00
2018	3	14	10	16	00	26.00	324.00	21.90
2018	3	14	10	30	00	25.00	317.00	21.70
2018	3	14	10	46	00	34.00	326.00	22.20
2018	3	14	11	0	00	22.00	279.00	22.60
2018	3	14	11	15	00	5.00	288.00	22.70
2018	3	14	11	30	00	19.00	245.00	23.20
2018	3	14	11	46	00	9.00	271.00	23.70
